au13,year,lma,lma_stability,sub_lma,sub_lma_stability
526103,2001,5,0.916,6,1
526104,2001,5,0.916,6,1
526105,2001,5,0.916,6,1
526106,2001,5,0.916,6,1
526200,2001,5,0.916,3,1
526400,2001,6,1,1,1
526500,2001,6,1,2,1
526601,2001,6,1,1,1
526602,2001,6,1,2,1
526603,2001,6,1,3,0.684
526701,2001,5,0.916,8,0.996
526702,2001,6,1,1,1
526900,2001,6,1,1,1
527004,2001,6,1,4,0.948
527005,2001,6,1,5,1
527006,2001,6,1,5,1
527007,2001,6,1,5,1
527008,2001,6,1,5,1
527009,2001,6,1,5,1
527111,2001,6,1,6,0.86
527112,2001,6,1,1,0.884
527122,2001,6,1,1,0.884
527123,2001,6,1,1,0.884
527124,2001,6,1,5,0.964
527125,2001,6,1,4,0.948
527131,2001,6,1,4,0.916
527133,2001,6,1,7,1
527134,2001,6,1,7,1
527210,2001,6,1,1,1
527221,2001,5,0.916,5,1
527222,2001,5,0.916,4,1
527401,2001,6,1,1,1
527402,2001,6,1,1,1
527501,2001,6,1,7,1
527502,2001,6,1,7,1
527503,2001,6,1,7,1
527504,2001,6,1,7,1
527505,2001,6,1,7,1
527600,2001,6,1,8,1
527700,2001,6,1,8,1
527810,2001,6,1,5,0.98
527820,2001,6,1,5,0.716
527912,2001,6,1,5,0.716
527913,2001,6,1,5,0.72
527914,2001,6,1,9,0.936
527915,2001,6,1,5,0.46
527916,2001,6,1,1,0.884
527917,2001,6,1,5,0.648
527921,2001,6,1,8,1
527922,2001,6,1,8,1
527923,2001,6,1,8,1
527924,2001,6,1,8,1
527925,2001,6,1,8,1
527931,2001,6,1,7,1
527932,2001,6,1,10,0.652
527934,2001,6,1,7,1
527935,2001,6,1,8,1
527936,2001,6,1,8,1
527937,2001,6,1,8,1
528000,2001,6,1,11,0.792
528200,2001,6,1,1,0.884
528310,2001,6,1,5,0.736
528320,2001,6,1,5,0.736
528402,2001,6,1,5,0.736
528403,2001,6,1,5,0.736
528405,2001,6,1,5,0.72
528406,2001,6,1,5,0.736
528501,2001,6,1,5,0.736
528503,2001,6,1,5,0.736
528504,2001,6,1,5,0.736
528505,2001,6,1,5,0.736
528601,2001,6,1,5,0.736
528602,2001,6,1,5,0.736
528700,2001,6,1,5,1
528800,2001,6,1,5,0.804
528900,2001,6,1,5,0.736
529000,2001,6,1,5,0.736
529100,2001,6,1,5,0.996
529200,2001,6,1,5,0.996
529300,2001,6,1,5,0.996
529401,2001,6,1,5,1
529402,2001,6,1,5,1
529501,2001,6,1,5,1
529502,2001,6,1,5,1
529503,2001,6,1,5,1
529600,2001,6,1,5,1
529700,2001,6,1,5,1
529800,2001,6,1,5,1
529900,2001,6,1,5,1
530000,2001,6,1,5,1
530100,2001,6,1,5,1
530200,2001,6,1,5,1
530300,2001,6,1,5,1
530400,2001,6,1,5,0.996
530500,2001,6,1,5,0.948
530600,2001,6,1,5,0.948
530700,2001,6,1,5,0.948
530800,2001,6,1,5,0.948
531001,2001,6,1,8,1
531002,2001,6,1,8,1
531003,2001,6,1,8,1
531004,2001,6,1,8,1
531100,2001,6,1,12,1
531200,2001,6,1,12,1
531301,2001,6,1,12,1
531303,2001,6,1,12,1
531304,2001,6,1,12,1
531500,2001,6,1,13,1
531600,2001,6,1,13,1
531710,2001,6,1,13,1
531720,2001,6,1,13,1
531731,2001,6,1,13,1
531732,2001,6,1,13,1
531800,2001,6,1,13,1
532000,2001,6,1,13,1
532200,2001,7,0.78,1,1
532300,2001,7,0.78,2,1
532400,2001,7,0.78,3,1
532501,2001,7,0.78,2,1
532502,2001,7,0.78,1,1
532601,2001,7,0.78,4,1
532602,2001,7,0.78,4,1
532700,2001,7,0.78,3,1
532901,2001,7,0.78,2,1
532902,2001,7,0.78,2,1
532903,2001,7,0.78,2,1
532904,2001,7,0.78,2,1
533000,2001,8,1,1,0.82
533100,2001,8,1,2,1
533200,2001,8,1,1,0.82
533300,2001,8,1,3,1
533400,2001,8,1,4,1
533501,2001,8,1,5,1
533502,2001,8,1,5,1
533602,2001,8,1,4,1
533603,2001,8,1,5,1
533604,2001,8,1,5,1
533800,2001,8,1,6,1
533901,2001,8,1,6,1
533902,2001,8,1,5,0.724
533903,2001,8,1,6,1
534100,2001,8,1,7,1
534200,2001,8,1,8,1
534300,2001,8,1,8,1
534400,2001,8,1,7,1
534500,2001,9,0.78,1,1
534602,2001,9,0.78,2,1
534603,2001,9,0.78,3,0.98
534604,2001,9,0.78,2,1
534800,2001,9,0.78,2,1
534901,2001,9,0.78,1,1
534902,2001,9,0.78,1,1
535000,2001,9,0.78,4,1
535100,2001,9,0.78,5,1
535211,2001,9,0.78,6,1
535212,2001,9,0.78,6,1
535220,2001,9,0.78,4,1
535231,2001,9,0.78,4,0.58
535232,2001,9,0.78,5,1
535241,2001,6,1,7,1
535242,2001,9,0.78,4,1
535250,2001,9,0.78,5,1
535261,2001,9,0.78,5,0.572
535262,2001,9,0.78,6,1
535310,2001,9,0.78,6,1
535320,2001,9,0.78,6,1
535330,2001,9,0.78,6,1
535340,2001,9,0.78,6,1
535350,2001,9,0.78,6,1
535360,2001,9,0.78,6,1
535370,2001,9,0.78,6,1
535380,2001,9,0.78,6,1
535501,2001,9,0.78,4,1
535502,2001,9,0.78,4,1
535600,2001,9,0.78,5,1
535700,2001,8,1,7,1
535800,2001,10,1,1,1
535900,2001,10,1,2,1
536000,2001,10,1,3,1
536201,2001,10,1,4,1
536202,2001,10,1,4,1
536203,2001,10,1,4,1
536400,2001,8,1,7,1
536503,2001,10,1,3,1
536505,2001,10,1,4,1
536508,2001,10,1,4,0.984
536512,2001,10,1,5,0.872
536513,2001,10,1,6,1
536514,2001,10,1,6,0.828
536515,2001,10,1,4,1
536516,2001,10,1,4,1
536517,2001,10,1,4,1
536611,2001,10,1,7,0.98
536613,2001,10,1,3,1
536614,2001,10,1,1,1
536615,2001,10,1,1,1
536620,2001,10,1,3,1
536630,2001,10,1,8,0.46
536641,2001,10,1,9,0.556
536642,2001,10,1,2,1
536651,2001,10,1,2,1
536653,2001,10,1,2,1
536654,2001,10,1,2,1
536810,2001,10,1,4,1
536821,2001,10,1,4,1
536831,2001,10,1,4,1
536832,2001,10,1,4,1
537000,2001,10,1,6,1
537100,2001,10,1,6,1
537201,2001,10,1,6,1
537202,2001,10,1,6,1
537301,2001,10,1,6,1
537302,2001,10,1,6,1
537400,2001,10,1,6,1
537500,2001,10,1,8,0.46
537601,2001,10,1,8,0.46
537602,2001,10,1,8,0.46
537700,2001,10,1,8,0.46
537800,2001,10,1,8,0.46
537900,2001,10,1,6,0.968
538000,2001,10,1,6,0.968
538101,2001,10,1,6,0.968
538102,2001,10,1,6,0.968
538201,2001,10,1,6,1
538202,2001,10,1,6,1
538301,2001,10,1,6,0.968
538302,2001,10,1,6,0.956
538303,2001,10,1,6,0.952
538501,2001,10,1,2,1
538502,2001,10,1,2,1
538601,2001,11,1,1,0.864
538602,2001,11,1,1,0.864
538721,2001,11,1,2,1
538722,2001,11,1,2,1
538731,2001,11,1,2,1
538732,2001,11,1,2,0.996
538741,2001,11,1,2,1
538742,2001,11,1,2,1
538811,2001,11,1,1,0.864
538820,2001,11,1,2,0.888
538831,2001,11,1,3,1
538832,2001,11,1,4,1
538841,2001,11,1,5,1
538842,2001,11,1,5,1
538850,2001,11,1,6,1
538861,2001,11,1,7,0.992
538863,2001,11,1,7,0.992
538864,2001,11,1,7,0.992
539000,2001,11,1,8,1
539100,2001,11,1,8,1
539200,2001,11,1,8,1
539310,2001,11,1,8,1
539320,2001,11,1,9,0.996
539400,2001,11,1,8,1
539500,2001,11,1,8,0.988
539600,2001,11,1,8,0.996
539700,2001,11,1,9,0.996
539800,2001,11,1,9,0.992
539900,2001,11,1,9,0.98
540000,2001,11,1,9,0.988
540100,2001,11,1,9,1
540200,2001,11,1,8,1
540300,2001,11,1,9,0.992
540410,2001,11,1,9,1
540420,2001,11,1,9,0.98
540510,2001,11,1,9,0.996
540520,2001,11,1,9,1
540600,2001,11,1,2,0.996
540700,2001,11,1,2,1
540900,2001,7,0.78,5,1
541000,2001,7,0.78,1,1
541311,2001,7,0.78,6,1
541312,2001,7,0.78,6,1
541313,2001,7,0.78,6,1
541315,2001,7,0.78,6,0.592
541316,2001,7,0.78,6,1
541317,2001,7,0.78,6,1
541318,2001,7,0.78,6,1
541319,2001,7,0.78,6,1
541320,2001,7,0.78,5,1
541333,2001,7,0.78,7,1
541334,2001,7,0.78,6,1
541335,2001,7,0.78,7,1
541342,2001,7,0.78,8,1
541344,2001,7,0.78,6,1
541345,2001,7,0.78,7,0.408
541346,2001,7,0.78,1,1
541347,2001,7,0.78,1,1
541348,2001,7,0.78,1,1
541501,2001,7,0.78,1,1
541502,2001,7,0.78,7,0.408
541503,2001,7,0.78,8,1
541710,2001,7,0.78,6,1
541720,2001,7,0.78,6,1
541730,2001,7,0.78,6,1
541740,2001,7,0.78,6,1
541750,2001,7,0.78,6,1
541760,2001,7,0.78,6,1
541900,2001,12,1,1,1
542000,2001,12,1,2,1
542100,2001,12,1,3,1
542200,2001,12,1,2,1
542300,2001,12,1,4,1
542410,2001,12,1,1,1
542421,2001,12,1,1,1
542422,2001,12,1,1,1
542430,2001,12,1,1,1
542440,2001,12,1,1,1
542511,2001,12,1,1,1
542514,2001,12,1,5,0.908
542520,2001,12,1,1,1
542530,2001,12,1,2,1
542540,2001,12,1,4,1
542550,2001,11,1,3,1
